Contig,V_CF26,V_CF34,V_CF71
Phel_clc_contig_11415,5.168172666,6.990049489,5.111344363
Phel_clc_contig_14856,4.766452051,5.489591102,6.285546481
Phel_clc_contig_15144,3.661304959,3.015319148,2.791543215
Phel_clc_contig_21852,3.661304959,5.443354688,4.93632699
Phel_clc_contig_13987,6.147972123,5.814196628,3.442651611
Phel_clc_contig_11724,3.283788458,1.273277161,4.070088735
Phel_clc_contig_24226,0,0,1.57269568
Phel_clc_contig_27517,0,1.273277161,0
Phel_clc_contig_27719,0,1.273277161,0
Phel_clc_contig_9726,4.766452051,3.781747877,3.442651611
Phel_clc_contig_20942,3.661304959,4.649063566,3.889658492
Phel_clc_contig_19282,4.913143132,5.620023298,5.339536494
Phel_clc_contig_9759,4.603133742,4.874875638,4.230433605
Phel_clc_contig_17522,4.207752323,5.534391601,6.090324176
Phel_clc_contig_10714,8.523725426,8.809921472,9.479407216
Phel_clc_contig_9673,4.418945512,4.874875638,5.596619146
Phel_clc_contig_22241,1.96827511,1.273277161,3.153513526
Phel_clc_contig_29510,0,0,0
Phel_clc_contig_1562,8.929187086,7.185294705,8.798554424
Phel_clc_contig_13868,5.280562933,5.395590685,5.709800673
Phel_clc_contig_354,8.205626615,7.406270494,7.769516548
Phel_clc_contig_7774,8.78420099,7.94342382,8.592602047
Phel_clc_contig_10172,1.96827511,4.05205935,4.50589728
Phel_clc_contig_14549,1.96827511,2.737319011,3.153513526
Phel_clc_contig_3735,5.168172666,5.985309151,6.047896052
Phel_clc_contig_21178,3.960242941,5.295032364,5.654318099
Phel_clc_contig_18363,2.77106155,4.170325694,4.737108053
Phel_clc_contig_13372,4.766452051,5.814196628,6.285546481
Phel_clc_contig_2818,7.504682357,7.857883361,8.592602047
Phel_clc_contig_14636,3.283788458,2.392647144,4.070088735
Phel_clc_contig_10702,6.601845057,6.76418424,7.161567272
Phel_clc_contig_14779,4.207752323,4.381221067,5.026485819
Phel_clc_contig_11378,4.913143132,4.942922625,5.536512997
Phel_clc_contig_666,7.332856491,7.31933884,8.657532113
Phel_clc_contig_16357,3.283788458,2.392647144,4.374733478
Phel_clc_contig_16686,2.77106155,3.24830712,4.070088735
Phel_clc_contig_3540,3.283788458,3.92322526,5.339536494
Phel_clc_contig_5026,4.603133742,2.392647144,4.50589728
Phel_clc_contig_7066,3.661304959,1.938925593,3.442651611
Phel_clc_contig_11439,3.283788458,3.448848104,3.683393288
Phel_clc_contig_19690,0,0,0
Phel_clc_contig_24261,0,1.273277161,0
Phel_clc_contig_5173,4.418945512,5.18693628,4.93632699
Phel_clc_contig_23356,3.283788458,1.938925593,2.791543215
Phel_clc_contig_2814,6.31563506,8.115464559,7.906418637
Phel_clc_contig_12605,2.77106155,4.803459544,3.683393288
Phel_clc_contig_9584,3.960242941,5.620023298,4.374733478
Phel_clc_contig_22169,0,3.24830712,0
Phel_clc_contig_5232,0,4.170325694,2.307166193
Phel_clc_contig_7417,5.046285869,5.577842694,4.737108053
Phel_clc_contig_11424,6.685884099,6.249925022,6.551580614
Phel_clc_contig_14297,5.889001328,4.279627294,5.026485819
Phel_clc_contig_10888,4.766452051,3.781747877,4.50589728
Phel_clc_contig_19112,5.482054453,5.346187483,5.864488274
Phel_clc_contig_13213,6.024288647,5.07008444,5.026485819
Phel_clc_contig_12134,4.207752323,3.781747877,4.50589728
Phel_clc_contig_6750,5.384823459,6.19517237,5.267408452
Phel_clc_contig_29243,0,0,0
Phel_clc_contig_6434,4.913143132,5.007904114,4.50589728
Phel_clc_contig_14361,5.816282258,5.534391601,5.912570831
Phel_clc_contig_11643,7.409014938,6.626126616,6.520888927
Phel_clc_contig_1450,9.583320877,9.236635159,9.044959337
Phel_clc_contig_25027,1.96827511,0,0
Phel_clc_contig_9853,4.603133742,4.279627294,2.307166193
Phel_clc_contig_10213,4.603133742,4.05205935,3.153513526
Phel_clc_contig_2966,6.601845057,6.646676785,5.536512997
Phel_clc_contig_16775,1.96827511,0,0
Phel_clc_contig_12675,3.960242941,2.737319011,2.791543215
Phel_clc_contig_6820,6.024288647,4.279627294,4.50589728
Phel_clc_contig_12119,5.889001328,4.874875638,4.737108053
Phel_clc_contig_12713,6.980257274,5.07008444,6.39113874
Phel_clc_contig_12805,5.658825569,5.129695157,5.814745231
Phel_clc_contig_4407,6.557913959,6.017224882,6.520888927
Phel_clc_contig_1757,6.980257274,6.19517237,7.015094976
Phel_clc_contig_4576,4.207752323,3.92322526,4.626129537
Phel_clc_contig_22211,1.96827511,0,1.57269568
Phel_clc_contig_19889,1.96827511,0,2.307166193
Phel_clc_contig_7983,6.417477872,6.27654133,6.489528485
Phel_clc_contig_8635,0,0,3.683393288
Phel_clc_contig_11488,6.024288647,6.108940478,4.626129537
Phel_clc_contig_20320,4.207752323,4.565188923,3.889658492
Phel_clc_contig_20161,3.661304959,3.015319148,4.50589728
Phel_clc_contig_8808,6.367454941,6.626126616,6.581634455
Phel_clc_contig_25452,0,4.170325694,1.57269568
Phel_clc_contig_4927,8.392310553,8.572805559,8.420375025
Phel_clc_contig_8892,5.168172666,5.985309151,5.191483692
Phel_clc_contig_27834,0,1.273277161,0
Phel_clc_contig_8352,6.601845057,7.021861671,6.852053786
Phel_clc_contig_12310,6.912101326,4.381221067,6.489528485
Phel_clc_contig_15824,4.207752323,1.938925593,3.889658492
Phel_clc_contig_16508,3.661304959,2.392647144,2.791543215
Phel_clc_contig_10161,2.77106155,2.392647144,4.737108053
Phel_clc_contig_13198,2.77106155,4.728328707,5.339536494
Phel_clc_contig_27525,0,0,1.57269568
Phel_clc_contig_23205,0,0,2.307166193
Phel_clc_contig_3860,6.876777222,7.021861671,7.239039004
Phel_clc_contig_10959,3.661304959,3.015319148,2.791543215
Phel_clc_contig_22898,2.77106155,1.273277161,1.57269568
Phel_clc_contig_439,11.30630235,11.56477017,11.55849232
Phel_clc_contig_24134,1.96827511,1.938925593,1.57269568
Phel_clc_contig_9206,6.803422087,6.706625863,6.668209914
Phel_clc_contig_11948,4.418945512,4.803459544,4.626129537
Phel_clc_contig_2278,8.523725426,9.240020178,8.29900053
Phel_clc_contig_1739,7.870625491,7.87540165,6.723170806
Phel_clc_contig_7353,4.603133742,5.007904114,4.626129537
Phel_clc_contig_9504,6.367454941,6.957521146,6.321608863
Phel_clc_contig_12233,3.661304959,3.015319148,3.153513526
Phel_clc_contig_19007,3.283788458,0,1.57269568
Phel_clc_contig_15233,3.960242941,2.737319011,3.442651611
Phel_clc_contig_5495,6.644476415,5.700853047,5.814745231
Phel_clc_contig_25377,1.96827511,1.273277161,0
Phel_clc_contig_8012,6.2618843,6.017224882,5.596619146
Phel_clc_contig_9976,5.046285869,4.476135384,4.50589728
Phel_clc_contig_12383,1.96827511,2.392647144,0
Phel_clc_contig_5999,0,0,0
Phel_clc_contig_3853,5.816282258,6.328344618,6.424686993
Phel_clc_contig_27302,0,0,1.57269568
Phel_clc_contig_6367,4.913143132,4.476135384,5.536512997
Phel_clc_contig_6205,6.685884099,7.113293142,7.100604525
Phel_clc_contig_11679,4.913143132,4.279627294,4.374733478
Phel_clc_contig_23311,0,0,0
Phel_clc_contig_24621,1.96827511,1.938925593,2.307166193
Phel_clc_contig_13317,1.96827511,1.273277161,2.791543215
Phel_clc_contig_11764,3.283788458,4.381221067,4.374733478
Phel_clc_contig_19540,3.283788458,3.624884628,3.683393288
Phel_clc_contig_25692,1.96827511,1.938925593,2.307166193
Phel_clc_contig_15504,0,0,0
Phel_clc_contig_6250,7.940721165,7.629169349,7.58895519
Phel_clc_contig_13540,0,0,0
Phel_clc_contig_7273,6.644476415,6.426682405,6.581634455
Phel_clc_contig_744,10.05167485,9.584288146,9.397298563
Phel_clc_contig_3984,3.661304959,2.392647144,3.889658492
Phel_clc_contig_14226,4.207752323,5.18693628,3.889658492
Phel_clc_contig_17449,3.960242941,6.60527949,5.864488274
Phel_clc_contig_10256,3.661304959,3.24830712,2.791543215
Phel_clc_contig_15446,2.77106155,3.015319148,1.57269568
Phel_clc_contig_2588,9.433351545,8.295424575,7.894495849
Phel_clc_contig_6884,5.57314727,4.381221067,5.267408452
Phel_clc_contig_17485,3.661304959,1.938925593,2.307166193
Phel_clc_contig_5797,8.535099209,8.159030697,6.924194922
Phel_clc_contig_6569,5.739699614,3.92322526,4.230433605
Phel_clc_contig_7201,5.168172666,6.35356325,4.840150994
Phel_clc_contig_14757,6.087456476,6.302675476,5.026485819
Phel_clc_contig_23008,3.283788458,0,1.57269568
Phel_clc_contig_4501,5.816282258,5.577842694,6.285546481
Phel_clc_contig_21534,3.283788458,3.92322526,4.070088735
Phel_clc_contig_22269,0,0,0
Phel_clc_contig_3210,7.224623974,7.3572388,7.34796412
Phel_clc_contig_19570,0,2.392647144,2.791543215
Phel_clc_contig_7186,3.283788458,3.624884628,4.230433605
Phel_clc_contig_1157,5.958230212,5.739632114,6.801872582
Phel_clc_contig_18553,4.603133742,5.07008444,5.596619146
Phel_clc_contig_18875,0,2.392647144,4.070088735
Phel_clc_contig_15637,3.960242941,4.170325694,4.93632699
Phel_clc_contig_16885,5.280562933,5.295032364,5.763228304
Phel_clc_contig_10111,5.958230212,5.007904114,5.473796651
Phel_clc_contig_12343,7.923514088,6.328344618,7.688977594
Phel_clc_contig_13361,4.603133742,1.938925593,3.442651611
Phel_clc_contig_11435,5.384823459,3.448848104,5.111344363
Phel_clc_contig_12112,6.876777222,5.885093549,5.912570831
Phel_clc_contig_1717,5.168172666,4.170325694,4.840150994
Phel_clc_contig_2244,5.658825569,4.649063566,5.111344363
Phel_clc_contig_3233,10.9778639,10.08921012,10.3090967
Phel_clc_contig_1376,8.803141451,8.288902516,8.509056842
Phel_clc_contig_5609,6.685884099,6.138261559,6.611073501
Phel_clc_contig_1719,6.51260458,5.18693628,5.111344363
Phel_clc_contig_5866,10.00744684,9.138479933,9.071676069
Phel_clc_contig_13129,5.384823459,5.952671367,5.536512997
Phel_clc_contig_14850,5.658825569,6.540868865,5.473796651
Phel_clc_contig_25210,1.96827511,3.92322526,2.307166193
Phel_clc_contig_14132,7.481353842,7.430175695,7.015094976
Phel_clc_contig_20614,1.96827511,4.476135384,2.307166193
Phel_clc_contig_89,10.83332995,11.13565042,10.91891294
Phel_clc_contig_7895,4.766452051,6.138261559,3.683393288
Phel_clc_contig_10160,6.644476415,5.700853047,6.924194922
Phel_clc_contig_10792,3.661304959,2.392647144,4.070088735
Phel_clc_contig_12512,4.766452051,0,4.840150994
Phel_clc_contig_13033,7.358691635,7.31933884,8.386726034
Phel_clc_contig_18084,3.283788458,3.24830712,4.93632699
Phel_clc_contig_353,7.85255635,7.679900179,8.195911533
Phel_clc_contig_7382,5.958230212,5.661005604,6.776113202
Phel_clc_contig_2296,6.644476415,6.819532797,6.970360174
Phel_clc_contig_12053,4.418945512,3.92322526,4.50589728
Phel_clc_contig_8679,6.726136399,7.185294705,7.079697039
Phel_clc_contig_24694,1.96827511,2.392647144,0
Phel_clc_contig_17979,1.96827511,2.737319011,3.442651611
Phel_clc_contig_4963,6.946581156,7.083454861,7.449240281
Phel_clc_contig_3737,7.045337028,6.686919268,7.294529774
Phel_clc_contig_1314,4.913143132,5.620023298,4.93632699
Phel_clc_contig_3237,9.550070484,9.842117262,9.50707569
Phel_clc_contig_5338,8.191320332,8.529200954,8.215211179
Phel_clc_contig_8274,7.758650962,8.180329898,8.116022113
Phel_clc_contig_10050,7.013164087,6.801317768,7.294529774
Phel_clc_contig_1197,10.61222034,10.97937089,11.31525114
Phel_clc_contig_6574,7.95772601,7.959939356,8.386726034
Phel_clc_contig_6393,8.233820969,8.371471741,8.369602581
Phel_clc_contig_657,7.834258027,8.620335676,8.501216593
Phel_clc_contig_10654,6.367454941,4.803459544,6.090324176
Phel_clc_contig_7205,7.572487264,7.533100752,7.559055818
Phel_clc_contig_8035,7.85255635,7.068302137,8.156519486
Phel_clc_contig_11219,4.913143132,4.170325694,4.230433605
Phel_clc_contig_3062,7.504682357,6.450254494,7.365345223
Phel_clc_contig_12736,6.726136399,6.782871128,6.581634455
Phel_clc_contig_562,5.739699614,5.443354688,4.50589728
Phel_clc_contig_21585,3.283788458,1.273277161,2.791543215
Phel_clc_contig_4428,10.41701988,9.473620119,9.850372047
Phel_clc_contig_3383,6.31563506,5.700853047,6.321608863
Phel_clc_contig_20794,5.168172666,5.07008444,5.536512997
Phel_clc_contig_7093,4.207752323,4.874875638,5.814745231
Phel_clc_contig_12972,5.739699614,6.990049489,7.239039004
Phel_clc_contig_12409,4.913143132,6.048447639,6.131538041
Phel_clc_contig_14912,7.137763759,7.709504322,7.953147066
Phel_clc_contig_768,5.57314727,6.017224882,6.210595372
Phel_clc_contig_12278,6.557913959,6.973877566,7.34796412
Phel_clc_contig_8498,5.482054453,6.048447639,6.457471173
Phel_clc_contig_9745,1.96827511,3.781747877,3.683393288
Phel_clc_contig_11243,5.482054453,5.777396043,6.285546481
Phel_clc_contig_3087,6.726136399,6.855287109,7.312561716
Phel_clc_contig_386,5.658825569,5.395590685,6.424686993
Phel_clc_contig_17830,5.482054453,5.919278101,6.090324176
Phel_clc_contig_4792,8.219792908,8.805358887,8.792142481
Phel_clc_contig_17408,5.482054453,4.649063566,5.267408452
Phel_clc_contig_2720,6.206051226,5.577842694,6.457471173
Phel_clc_contig_9225,8.191320332,8.024175043,8.224764798
Phel_clc_contig_999,11.72409893,11.19789487,10.75550352
Phel_clc_contig_16810,5.816282258,6.940977158,6.520888927
Phel_clc_contig_13732,1.96827511,5.241996492,4.93632699
Phel_clc_contig_3474,9.012920868,9.459170106,9.354422627
Phel_clc_contig_10438,6.367454941,6.745252125,6.004182256
Phel_clc_contig_12582,4.766452051,5.885093549,4.374733478
Phel_clc_contig_17511,5.384823459,6.60527949,5.408226126
Phel_clc_contig_2661,10.34452994,11.10905537,10.12237584
Phel_clc_contig_23300,0,2.392647144,0
Phel_clc_contig_13447,3.283788458,4.649063566,3.683393288
Phel_clc_contig_15229,5.168172666,5.985309151,5.473796651
Phel_clc_contig_24878,2.77106155,3.781747877,3.153513526
Phel_clc_contig_18839,3.283788458,3.781747877,3.442651611
Phel_clc_contig_8176,7.137763759,8.122817644,7.141530886
Phel_clc_contig_13113,4.418945512,4.279627294,5.191483692
Phel_clc_contig_17462,3.661304959,2.737319011,4.230433605
Phel_clc_contig_2563,7.888471729,7.94342382,8.136412893
Phel_clc_contig_1754,5.889001328,4.476135384,5.473796651
Phel_clc_contig_11508,6.840565201,5.295032364,7.181328203
Phel_clc_contig_3651,6.206051226,5.129695157,6.749884173
Phel_clc_contig_3484,5.384823459,4.05205935,6.639925266
Phel_clc_contig_1499,10.33154266,9.796867177,9.384569002
Phel_clc_contig_16745,1.96827511,0,0
Phel_clc_contig_145,13.87633052,13.76218128,13.40425311
Phel_clc_contig_512,11.40103469,11.40507587,10.89368006
Phel_clc_contig_12365,0,0,0
Phel_clc_contig_2786,8.055747169,8.275769272,9.138909159
Phel_clc_contig_15084,4.913143132,5.777396043,6.39113874
Phel_clc_contig_17182,2.77106155,3.015319148,4.374733478
Phel_clc_contig_22783,0,1.938925593,3.153513526
Phel_clc_contig_655,8.205626615,8.501263177,8.469421225
Phel_clc_contig_17176,5.046285869,4.565188923,5.339536494
Phel_clc_contig_5294,9.068771293,9.009550406,9.434826689
Phel_clc_contig_4177,7.719307357,7.748053942,8.234256048
Phel_clc_contig_4935,6.024288647,6.473446001,6.924194922
Phel_clc_contig_4975,5.658825569,6.27654133,6.39113874
Phel_clc_contig_19722,4.766452051,6.108940478,5.654318099
Phel_clc_contig_20352,4.418945512,5.241996492,5.111344363
Phel_clc_contig_27580,0,1.273277161,1.57269568
Phel_clc_contig_5925,7.013164087,7.127984007,7.141530886
Phel_clc_contig_9439,6.685884099,6.855287109,6.39113874
Phel_clc_contig_3095,6.946581156,7.037508518,6.992900959
Phel_clc_contig_6655,3.960242941,4.476135384,5.267408452
Phel_clc_contig_17308,3.960242941,3.448848104,3.442651611
Phel_clc_contig_5839,6.765297372,6.60527949,6.695952068
Phel_clc_contig_9499,5.57314727,4.381221067,2.791543215
Phel_clc_contig_14944,3.661304959,1.938925593,3.683393288
Phel_clc_contig_8821,7.888471729,7.488260323,7.941606377
Phel_clc_contig_10626,7.279754495,7.87540165,7.833358814
Phel_clc_contig_1539,5.739699614,6.801317768,7.34796412
Phel_clc_contig_21725,3.283788458,4.170325694,4.840150994
Phel_clc_contig_7401,6.644476415,7.280417243,7.416265521
Phel_clc_contig_14430,5.482054453,6.35356325,5.596619146
Phel_clc_contig_15097,5.739699614,6.837520713,6.248557606
Phel_clc_contig_13974,6.087456476,6.626126616,6.004182256
Phel_clc_contig_2093,9.012920868,8.859179427,8.903408902
Phel_clc_contig_3697,9.555665675,9.226432424,9.553306739
Phel_clc_contig_17140,4.418945512,4.05205935,4.230433605
Phel_clc_contig_8381,8.275105317,8.137411815,7.894495849
Phel_clc_contig_4325,6.765297372,6.450254494,5.536512997
Phel_clc_contig_10349,6.087456476,6.562660669,6.004182256
Phel_clc_contig_2408,6.685884099,7.068302137,6.827181355
Phel_clc_contig_7999,5.816282258,6.584128201,5.536512997
Phel_clc_contig_8285,5.168172666,5.577842694,5.111344363
Phel_clc_contig_12792,3.661304959,4.05205935,4.070088735
Phel_clc_contig_2528,5.816282258,5.700853047,6.285546481
Phel_clc_contig_4994,8.11757973,8.159030697,8.516855108
Phel_clc_contig_7747,3.283788458,4.942922625,5.191483692
Phel_clc_contig_9238,7.013164087,7.083454861,7.312561716
Phel_clc_contig_8752,5.889001328,6.35356325,6.801872582
Phel_clc_contig_5143,8.885423974,8.67637814,9.02322402
Phel_clc_contig_5942,6.024288647,6.079011097,6.457471173
Phel_clc_contig_6709,6.946581156,7.006043263,7.161567272
Phel_clc_contig_12417,6.367454941,5.18693628,5.408226126
Phel_clc_contig_10803,5.958230212,5.241996492,6.321608863
Phel_clc_contig_4105,9.14498345,8.923748792,8.685477672
Phel_clc_contig_5324,9.427260248,9.209265706,9.158981232
Phel_clc_contig_29720,0,0,0
Phel_clc_contig_3158,4.766452051,5.241996492,4.93632699
Phel_clc_contig_9166,7.815723994,7.441980549,7.964596747
Phel_clc_contig_12811,0,3.015319148,0
Phel_clc_contig_25090,0,1.273277161,0
Phel_clc_contig_2074,6.726136399,6.222808424,6.424686993
Phel_clc_contig_21596,1.96827511,4.279627294,3.442651611
Phel_clc_contig_11604,4.603133742,5.577842694,5.814745231
